Longitude,Latitude,Accident_Severity,Number_of_Casualties,Number_of_Vehicles,Day_of_Week,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Vehicle_Type,Sex_of_Driver,Age_of_Driver,Engine_Capacity_(CC),Age_of_Vehicle,DateTime
-0.097293,51.515757,Fatal,2,2,4,One way street,30,Daylight,Fine no high winds,Dry,Pedal cycle,Male,20,-1,-1,2005-05-18 18:30:00
-0.178613,51.525861,Fatal,1,2,5,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Pedal cycle,Male,25,-1,-1,2005-01-06 15:32:00
-0.178613,51.525861,Fatal,1,2,5,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Car,Male,29,1596,3,2005-01-06 15:32:00
-0.172518,51.512457,Fatal,1,1,4,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Not known,-1,-1,-1,2005-02-02 09:00:00
-0.120088,51.511718,Fatal,1,1,7,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,30,1598,7,2005-01-29 12:00:00
-0.146308,51.504852,Fatal,1,2,5,Dual carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,-1,2664,5,2005-03-24 22:29:00
-0.146308,51.504852,Fatal,1,2,5,Dual carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Pedal cycle,Male,20,-1,-1,2005-03-24 22:29:00
-0.207216,51.513352,Fatal,1,2,2,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,26,1994,13,2005-04-11 21:15:00
-0.105584,51.552132,Fatal,1,2,4,Single carriageway,30,Daylight,Fine no high winds,Dry,Goods vehicle,Male,42,12130,5,2005-04-27 10:09:00
-0.105584,51.552132,Fatal,1,2,4,Single carriageway,30,Daylight,Fine no high winds,Dry,Pedal cycle,Male,34,-1,-1,2005-04-27 10:09:00
-0.193688,51.49462,Fatal,1,2,6,Single carriageway,30,Darkness - lights lit,Raining no high winds,Wet or damp,Pedal cycle,Male,54,-1,-1,2005-03-11 22:19:00
-0.193688,51.49462,Fatal,1,2,6,Single carriageway,30,Darkness - lights lit,Raining no high winds,Wet or damp,Car,Not known,-1,-1,-1,2005-03-11 22:19:00
-0.150922,51.501237,Fatal,1,1,6,Dual carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,34,1984,7,2005-04-01 16:07:00
-0.144223,51.513631,Fatal,1,1,1,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,23,-1,-1,2005-05-08 06:00:00
-0.178967,51.495291,Fatal,1,2,4,Single carriageway,30,Daylight,Fine no high winds,Dry,Pedal cycle,Male,22,-1,-1,2005-05-25 17:35:00
-0.209699,51.512491,Fatal,1,1,6,Single carriageway,30,Daylight,Fine no high winds,Dry,Goods vehicle,Male,-1,-1,-1,2005-07-15 15:00:00
-0.135444,51.541549,Fatal,1,2,5,One way street,30,Daylight,Fine no high winds,Dry,Goods vehicle,Male,24,5861,8,2005-07-14 08:15:00
-0.135444,51.541549,Fatal,1,2,5,One way street,30,Daylight,Fine no high winds,Dry,Pedal cycle,Male,24,-1,-1,2005-07-14 08:15:00
-0.174276,51.482899,Fatal,1,2,6,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,60,1997,20,2005-09-02 17:28:00
-0.157712,51.497208,Fatal,3,3,5,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,-1,-1,-1,2005-10-06 01:49:00
-0.157712,51.497208,Fatal,3,3,5,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Not known,-1,-1,-1,2005-10-06 01:49:00
-0.201219,51.544825,Fatal,1,1,4,Single carriageway,30,Daylight,Fine no high winds,Dry,Goods vehicle,Male,44,2494,2,2005-10-26 10:29:00
-0.150417,51.503028,Fatal,10,3,1,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,-1,1997,1,2005-11-06 02:30:00
-0.150417,51.503028,Fatal,10,3,1,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,-1,-1,-1,2005-11-06 02:30:00
-0.150417,51.503028,Fatal,10,3,1,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,41,2151,6,2005-11-06 02:30:00
-0.126095,51.572515,Fatal,1,2,3,Single carriageway,20,Daylight,Other,Wet or damp,Pedal cycle,Male,30,-1,-1,2005-11-15 09:15:00
-0.126095,51.572515,Fatal,1,2,3,Single carriageway,20,Daylight,Other,Wet or damp,Goods vehicle,Male,29,2151,-1,2005-11-15 09:15:00
-0.102206,51.522401,Fatal,1,2,6,Single carriageway,30,Daylight,Fine no high winds,Dry,Pedal cycle,Female,37,-1,-1,2005-11-18 07:27:00
-0.102206,51.522401,Fatal,1,2,6,Single carriageway,30,Daylight,Fine no high winds,Dry,Goods vehicle,Male,38,11021,1,2005-11-18 07:27:00
-0.160095,51.513162,Fatal,2,2,1,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Female,63,1390,1,2005-10-30 09:38:00
-0.168075,51.493863,Fatal,1,1,5,Single carriageway,30,Darkness - lights lit,Raining no high winds,Wet or damp,Goods vehicle,Not known,-1,-1,-1,2005-12-01 02:00:00
-0.173084,51.523527,Fatal,1,1,4,Single carriageway,30,Daylight,Fine no high winds,Dry,Goods vehicle,Female,22,-1,-1,2005-11-30 12:30:00
-0.073951,51.573649,Fatal,1,2,6,Single carriageway,30,Darkness - lights lit,Raining no high winds,Wet or damp,Car,Not known,-1,1390,9,2005-12-02 17:15:00
-0.060303,51.551842,Fatal,1,1,5,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Not known,-1,-1,-1,2005-12-15 20:45:00
-0.198496,51.493255,Fatal,1,2,3,Dual carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,53,-1,-1,2005-12-13 20:26:00
-0.198496,51.493255,Fatal,1,2,3,Dual carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Pedal cycle,Male,58,-1,-1,2005-12-13 20:26:00
-0.229318,51.530594,Fatal,4,2,5,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,33,1781,14,2005-01-13 22:10:00
-0.229318,51.530594,Fatal,4,2,5,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Female,-1,-1,-1,2005-01-13 22:10:00
-0.325945,51.533722,Fatal,3,1,2,Single carriageway,30,Darkness - no lighting,Raining no high winds,Wet or damp,Car,Male,20,1796,13,2005-02-28 02:14:00
-0.17258,51.636825,Fatal,2,1,1,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,18,1108,9,2005-03-06 22:59:00
-0.268723,51.601594,Fatal,2,1,2,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,-1,1998,8,2005-03-07 11:30:00
-0.200166,51.589771,Fatal,1,1,6,Dual carriageway,50,Darkness - lights lit,Fine no high winds,Dry,Car,Not known,-1,-1,-1,2005-02-25 03:05:00
-0.308431,51.531672,Fatal,1,2,2,Dual carriageway,40,Darkness - lights lit,Raining no high winds,Wet or damp,Car,Not known,-1,1587,13,2005-05-02 05:07:00
-0.308431,51.531672,Fatal,1,2,2,Dual carriageway,40,Darkness - lights lit,Raining no high winds,Wet or damp,Car,Male,58,1994,13,2005-05-02 05:07:00
-0.474343,51.50688,Fatal,5,3,5,Single carriageway,30,Darkness - lights lit,Raining no high winds,Wet or damp,Car,Male,22,1984,1,2005-04-28 22:35:00
-0.474343,51.50688,Fatal,5,3,5,Single carriageway,30,Darkness - lights lit,Raining no high winds,Wet or damp,Car,Male,17,1390,11,2005-04-28 22:35:00
-0.474343,51.50688,Fatal,5,3,5,Single carriageway,30,Darkness - lights lit,Raining no high winds,Wet or damp,Car,Female,18,1242,5,2005-04-28 22:35:00
-0.421796,51.497103,Fatal,1,2,1,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,35,1596,11,2005-05-08 12:44:00
-0.288,51.53821,Fatal,1,1,1,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Not known,-1,-1,-1,2005-05-15 20:37:00
-0.380235,51.543746,Fatal,1,2,5,Dual carriageway,60,Darkness - lights lit,Fine no high winds,Dry,Car,Male,56,1388,14,2005-05-26 23:55:00
-0.380235,51.543746,Fatal,1,2,5,Dual carriageway,60,Darkness - lights lit,Fine no high winds,Dry,Goods vehicle,Male,57,-1,-1,2005-05-26 23:55:00
-0.292037,51.626754,Fatal,1,1,4,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,22,1108,9,2005-06-08 04:16:00
-0.305398,51.613279,Fatal,1,2,2,Single carriageway,30,Daylight,Fine no high winds,Dry,Goods vehicle,Male,55,-1,-1,2005-06-13 17:11:00
-0.305398,51.613279,Fatal,1,2,2,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Female,36,2035,-1,2005-06-13 17:11:00
-0.373807,51.525852,Fatal,1,1,1,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Car,Male,-1,3430,16,2005-07-03 15:30:00
-0.398248,51.515398,Fatal,1,2,7,Dual carriageway,40,Darkness - lights lit,Fine no high winds,Dry,Car,Male,29,3490,2,2005-07-30 01:40:00
-0.482194,51.500418,Fatal,1,1,5,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,18,1229,-1,2005-09-08 00:35:00
-0.193617,51.649291,Fatal,1,3,2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,50,1781,17,2005-09-12 18:55:00
-0.193617,51.649291,Fatal,1,3,2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Car,Female,81,1796,-1,2005-09-12 18:55:00
-0.347022,51.620527,Fatal,1,1,6,Single carriageway,30,Darkness - lights lit,Raining no high winds,Wet or damp,Pedal cycle,Male,54,-1,-1,2005-09-16 01:30:00
-0.220332,51.57614,Fatal,2,2,3,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Goods vehicle,Male,35,-1,-1,2005-09-27 01:16:00
-0.265408,51.612785,Fatal,1,2,5,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,-1,1599,5,2005-10-13 19:07:00
-0.395134,51.567061,Fatal,2,1,6,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Female,29,1598,1,2005-10-21 21:10:00
-0.259475,51.541297,Fatal,1,1,5,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Goods vehicle,Male,-1,-1,-1,2005-10-27 19:46:00
-0.193164,51.646136,Fatal,1,1,6,Single carriageway,30,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Male,34,1388,2,2005-11-25 21:33:00
-0.29954,51.538108,Fatal,1,2,7,Single carriageway,30,Darkness - lights lit,Raining no high winds,Wet or damp,Car,Male,-1,1275,6,2005-11-26 01:30:00
-0.29954,51.538108,Fatal,1,2,7,Single carriageway,30,Darkness - lights lit,Raining no high winds,Wet or damp,Car,Male,-1,9999,15,2005-11-26 01:30:00
-0.470643,51.578591,Fatal,1,2,4,Single carriageway,30,Darkness - no lighting,Raining no high winds,Wet or damp,Car,Male,40,1796,-1,2005-12-07 18:54:00
-0.470643,51.578591,Fatal,1,2,4,Single carriageway,30,Darkness - no lighting,Raining no high winds,Wet or damp,Car,Female,64,-1,-1,2005-12-07 18:54:00
-0.259585,51.621511,Fatal,1,1,5,Dual carriageway,40,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Male,19,1796,2,2005-12-01 21:58:00
-0.207815,51.560483,Fatal,1,1,6,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,55,1988,6,2005-11-25 19:46:00
-0.29132,51.507324,Fatal,2,2,4,Single carriageway,30,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Female,39,1400,5,2005-12-14 04:30:00
-0.147367,51.599471,Fatal,2,1,2,Single carriageway,30,Darkness - lights lit,Raining no high winds,Wet or damp,Car,Male,25,1108,11,2005-12-19 00:05:00
-0.425736,51.570893,Fatal,1,1,5,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Female,56,1731,7,2005-12-15 08:48:00
-0.034068,51.58153,Fatal,2,1,5,Single carriageway,30,Daylight,Fine no high winds,Dry,Goods vehicle,Male,32,9364,1,2005-02-03 12:28:00
0.171412,51.565047,Fatal,6,1,6,Single carriageway,30,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Male,27,3947,15,2005-02-25 21:39:00
-0.051538,51.520671,Fatal,2,1,1,Single carriageway,30,Daylight,Fine no high winds,Dry,Pedal cycle,Male,26,-1,-1,2005-02-20 15:10:00
