Longitude,Latitude,Number_of_Casualties,Number_of_Vehicles,Speed_limit,Weather_Conditions,Vehicle_Type,DateTime
-0.097293,51.515757,2,2,30,Fine no high winds,Pedal cycle,2005-05-18 18:30:00
-0.178613,51.525861,1,2,30,Fine no high winds,Pedal cycle,2005-01-06 15:32:00
-0.178613,51.525861,1,2,30,Fine no high winds,Car,2005-01-06 15:32:00
-0.172518,51.512457,1,1,30,Fine no high winds,Car,2005-02-02 09:00:00
-0.120088,51.511718,1,1,30,Fine no high winds,Car,2005-01-29 12:00:00
-0.146308,51.504852,1,2,30,Fine no high winds,Car,2005-03-24 22:29:00
-0.146308,51.504852,1,2,30,Fine no high winds,Pedal cycle,2005-03-24 22:29:00
-0.207216,51.513352,1,2,30,Fine no high winds,Car,2005-04-11 21:15:00
-0.105584,51.552132,1,2,30,Fine no high winds,Goods vehicle,2005-04-27 10:09:00
-0.105584,51.552132,1,2,30,Fine no high winds,Pedal cycle,2005-04-27 10:09:00
-0.193688,51.49462,1,2,30,Raining no high winds,Pedal cycle,2005-03-11 22:19:00
-0.193688,51.49462,1,2,30,Raining no high winds,Car,2005-03-11 22:19:00
-0.150922,51.501237,1,1,30,Fine no high winds,Car,2005-04-01 16:07:00
-0.144223,51.513631,1,1,30,Fine no high winds,Car,2005-05-08 06:00:00
-0.178967,51.495291,1,2,30,Fine no high winds,Pedal cycle,2005-05-25 17:35:00
-0.209699,51.512491,1,1,30,Fine no high winds,Goods vehicle,2005-07-15 15:00:00
-0.135444,51.541549,1,2,30,Fine no high winds,Goods vehicle,2005-07-14 08:15:00
-0.135444,51.541549,1,2,30,Fine no high winds,Pedal cycle,2005-07-14 08:15:00
-0.174276,51.482899,1,2,30,Fine no high winds,Car,2005-09-02 17:28:00
-0.157712,51.497208,3,3,30,Fine no high winds,Car,2005-10-06 01:49:00
-0.157712,51.497208,3,3,30,Fine no high winds,Car,2005-10-06 01:49:00
-0.201219,51.544825,1,1,30,Fine no high winds,Goods vehicle,2005-10-26 10:29:00
-0.150417,51.503028,10,3,30,Fine no high winds,Car,2005-11-06 02:30:00
-0.150417,51.503028,10,3,30,Fine no high winds,Car,2005-11-06 02:30:00
-0.150417,51.503028,10,3,30,Fine no high winds,Car,2005-11-06 02:30:00
-0.102206,51.522401,1,2,30,Fine no high winds,Pedal cycle,2005-11-18 07:27:00
-0.102206,51.522401,1,2,30,Fine no high winds,Goods vehicle,2005-11-18 07:27:00
-0.160095,51.513162,2,2,30,Fine no high winds,Car,2005-10-30 09:38:00
-0.168075,51.493863,1,1,30,Raining no high winds,Goods vehicle,2005-12-01 02:00:00
-0.173084,51.523527,1,1,30,Fine no high winds,Goods vehicle,2005-11-30 12:30:00
-0.073951,51.573649,1,2,30,Raining no high winds,Car,2005-12-02 17:15:00
-0.060303,51.551842,1,1,30,Fine no high winds,Car,2005-12-15 20:45:00
-0.198496,51.493255,1,2,30,Fine no high winds,Car,2005-12-13 20:26:00
-0.198496,51.493255,1,2,30,Fine no high winds,Pedal cycle,2005-12-13 20:26:00
-0.229318,51.530594,4,2,30,Fine no high winds,Car,2005-01-13 22:10:00
-0.229318,51.530594,4,2,30,Fine no high winds,Car,2005-01-13 22:10:00
-0.325945,51.533722,3,1,30,Raining no high winds,Car,2005-02-28 02:14:00
-0.17258,51.636825,2,1,30,Fine no high winds,Car,2005-03-06 22:59:00
-0.268723,51.601594,2,1,30,Fine no high winds,Car,2005-03-07 11:30:00
-0.200166,51.589771,1,1,50,Fine no high winds,Car,2005-02-25 03:05:00
-0.308431,51.531672,1,2,40,Raining no high winds,Car,2005-05-02 05:07:00
-0.308431,51.531672,1,2,40,Raining no high winds,Car,2005-05-02 05:07:00
-0.474343,51.50688,5,3,30,Raining no high winds,Car,2005-04-28 22:35:00
-0.474343,51.50688,5,3,30,Raining no high winds,Car,2005-04-28 22:35:00
-0.474343,51.50688,5,3,30,Raining no high winds,Car,2005-04-28 22:35:00
-0.421796,51.497103,1,2,30,Fine no high winds,Car,2005-05-08 12:44:00
-0.288,51.53821,1,1,30,Fine no high winds,Car,2005-05-15 20:37:00
-0.380235,51.543746,1,2,60,Fine no high winds,Car,2005-05-26 23:55:00
-0.380235,51.543746,1,2,60,Fine no high winds,Goods vehicle,2005-05-26 23:55:00
-0.292037,51.626754,1,1,60,Fine no high winds,Car,2005-06-08 04:16:00
-0.305398,51.613279,1,2,30,Fine no high winds,Goods vehicle,2005-06-13 17:11:00
-0.305398,51.613279,1,2,30,Fine no high winds,Car,2005-06-13 17:11:00
-0.373807,51.525852,1,1,30,Raining no high winds,Car,2005-07-03 15:30:00
-0.398248,51.515398,1,2,40,Fine no high winds,Car,2005-07-30 01:40:00
-0.482194,51.500418,1,1,30,Fine no high winds,Car,2005-09-08 00:35:00
-0.193617,51.649291,1,3,30,Fine no high winds,Car,2005-09-12 18:55:00
-0.193617,51.649291,1,3,30,Fine no high winds,Car,2005-09-12 18:55:00
-0.347022,51.620527,1,1,30,Raining no high winds,Pedal cycle,2005-09-16 01:30:00
-0.220332,51.57614,2,2,30,Fine no high winds,Goods vehicle,2005-09-27 01:16:00
-0.265408,51.612785,1,2,30,Fine no high winds,Car,2005-10-13 19:07:00
-0.395134,51.567061,2,1,30,Fine no high winds,Car,2005-10-21 21:10:00
-0.259475,51.541297,1,1,30,Fine no high winds,Goods vehicle,2005-10-27 19:46:00
-0.193164,51.646136,1,1,30,Fine no high winds,Car,2005-11-25 21:33:00
-0.29954,51.538108,1,2,30,Raining no high winds,Car,2005-11-26 01:30:00
-0.29954,51.538108,1,2,30,Raining no high winds,Car,2005-11-26 01:30:00
-0.470643,51.578591,1,2,30,Raining no high winds,Car,2005-12-07 18:54:00
-0.470643,51.578591,1,2,30,Raining no high winds,Car,2005-12-07 18:54:00
-0.259585,51.621511,1,1,40,Fine no high winds,Car,2005-12-01 21:58:00
-0.207815,51.560483,1,1,30,Fine no high winds,Car,2005-11-25 19:46:00
-0.29132,51.507324,2,2,30,Fine no high winds,Car,2005-12-14 04:30:00
-0.147367,51.599471,2,1,30,Raining no high winds,Car,2005-12-19 00:05:00
-0.425736,51.570893,1,1,30,Fine no high winds,Car,2005-12-15 08:48:00
-0.034068,51.58153,2,1,30,Fine no high winds,Goods vehicle,2005-02-03 12:28:00
0.171412,51.565047,6,1,30,Fine no high winds,Car,2005-02-25 21:39:00
-0.051538,51.520671,2,1,30,Fine no high winds,Pedal cycle,2005-02-20 15:10:00
-0.003217,51.63002,1,1,30,Fine no high winds,Car,2005-01-24 15:25:00
-0.019539,51.669954,3,1,30,Fine no high winds,Car,2005-01-13 22:31:00
0.081939,51.590051,1,1,30,Fine no high winds,Goods vehicle,2005-03-04 13:45:00
0.143388,51.539843,1,2,30,Fine no high winds,Car,2005-03-19 09:47:00
0.143388,51.539843,1,2,30,Fine no high winds,Car,2005-03-19 09:47:00
0.118905,51.615019,3,2,30,Fine no high winds,Car,2005-03-17 14:35:00
-0.020085,51.527968,1,1,30,Fine no high winds,Car,2005-03-25 22:40:00
-0.029397,51.656091,1,2,40,Fine no high winds,Pedal cycle,2005-05-05 16:35:00
-0.029397,51.656091,1,2,40,Fine no high winds,Goods vehicle,2005-05-05 16:35:00
0.227119,51.50321,2,2,60,Fine no high winds,Car,2005-05-28 11:30:00
0.227119,51.50321,2,2,60,Fine no high winds,Goods vehicle,2005-05-28 11:30:00
0.123574,51.535527,1,1,30,Fine no high winds,Goods vehicle,2005-05-27 08:40:00
-0.058701,51.660536,1,2,40,Fine no high winds,Car,2005-06-04 15:18:00
-0.058701,51.660536,1,2,40,Fine no high winds,Goods vehicle,2005-06-04 15:18:00
-0.115846,51.600498,1,2,30,Fine no high winds,Car,2005-06-08 17:20:00
-0.115846,51.600498,1,2,30,Fine no high winds,Car,2005-06-08 17:20:00
0.049473,51.590443,1,2,30,Fine no high winds,Goods vehicle,2005-06-18 16:58:00
-0.093916,51.64142,4,2,30,Fine no high winds,Car,2005-06-18 04:30:00
0.094793,51.546207,1,1,30,Fine no high winds,Car,2005-06-23 13:08:00
-0.146539,51.577246,1,1,30,Fine no high winds,Car,2005-07-03 10:38:00
0.028063,51.595941,1,1,50,Fine no high winds,Car,2005-07-21 17:28:00
-0.047632,51.547944,1,2,30,Fine no high winds,Car,2005-07-20 20:05:00
-0.047632,51.547944,1,2,30,Fine no high winds,Pedal cycle,2005-07-20 20:05:00
0.005609,51.515571,1,1,30,Fine no high winds,Car,2005-07-26 23:45:00
0.11409,51.551796,4,2,30,Fine no high winds,Car,2005-07-28 19:33:00
0.11409,51.551796,4,2,30,Fine no high winds,Car,2005-07-28 19:33:00
-0.049778,51.60904,1,2,40,Fine no high winds,Goods vehicle,2005-06-21 19:40:00
0.009929,51.594004,4,2,30,Fine no high winds,Car,2005-08-02 13:35:00
0.009929,51.594004,4,2,30,Fine no high winds,Car,2005-08-02 13:35:00
-0.104054,51.623599,1,1,30,Fine no high winds,Car,2005-08-05 13:29:00
0.01736,51.536862,3,2,30,Fine no high winds,Goods vehicle,2005-09-10 07:20:00
0.01736,51.536862,3,2,30,Fine no high winds,Car,2005-09-10 07:20:00
-0.086461,51.615939,3,1,50,Raining no high winds,Car,2005-09-12 01:20:00
-0.120178,51.635458,2,2,30,Fine no high winds,Car,2005-09-13 16:51:00
-0.036976,51.527443,1,1,30,Fine no high winds,Car,2005-09-17 13:40:00
-0.0598,51.590772,1,2,40,Fine no high winds,Car,2005-09-26 06:14:00
-0.0598,51.590772,1,2,40,Fine no high winds,Car,2005-09-26 06:14:00
-0.051231,51.52786,3,1,30,Fine no high winds,Car,2005-10-06 21:06:00
0.108449,51.532742,2,3,40,Fine no high winds,Goods vehicle,2005-10-24 10:26:00
0.108449,51.532742,2,3,40,Fine no high winds,Car,2005-10-24 10:26:00
0.13315,51.549112,1,1,30,Fine no high winds,Car,2005-10-27 09:50:00
0.109503,51.561771,1,2,30,Fine no high winds,Car,2005-11-12 09:28:00
0.109503,51.561771,1,2,30,Fine no high winds,Pedal cycle,2005-11-12 09:28:00
0.01602,51.633738,1,1,30,Raining no high winds,Car,2005-11-03 13:28:00
-0.080289,51.632115,1,1,30,Fine no high winds,Car,2005-11-16 10:20:00
0.228418,51.500307,4,1,70,Fine no high winds,Car,2005-11-20 20:00:00
-0.134367,51.59252,1,1,30,Fine no high winds,Car,2005-11-24 00:53:00
0.219046,51.553544,1,1,30,Fine no high winds,Car,2005-11-24 17:05:00
0.16373,51.597744,1,1,30,Fine no high winds,Car,2005-12-18 10:22:00
-0.132058,51.641763,1,1,30,Raining no high winds,Goods vehicle,2005-12-06 17:00:00
-0.002246,51.421639,1,1,30,Fine no high winds,Goods vehicle,2005-01-25 11:28:00
0.053024,51.480218,1,1,30,Fine no high winds,Car,2005-03-08 18:54:00
0.103881,51.430484,1,2,30,Fine no high winds,Car,2005-03-15 21:10:00
0.103881,51.430484,1,2,30,Fine no high winds,Goods vehicle,2005-03-15 21:10:00
-0.057496,51.424637,3,2,30,Fine no high winds,Car,2005-03-12 02:20:00
-0.057496,51.424637,3,2,30,Fine no high winds,Car,2005-03-12 02:20:00
